School,District,SchoolCategory,SchoolType,LowIncome,ELL,Enrollment,mathLImet
A G WEST BLACK HILLS,TUMWATER SD,High,Public,22.04333333,0,233,31.68666667
A J WEST ELEMENTARY,ABERDEEN SD,Elem,Public,75.16666667,15.93333333,209.3333333,51.52666667
ABRAHAM LINCOLN ELEM,WENATCHEE SD,Elem,Public,73.81666667,37.34666667,246,38.4
ACADEMY OF CITIZENSH,HIGHLINE SD,High,Public,64.02666667,28.87,76.66666667,16.46666667
ACME ELEMENTARY,MOUNT BAKER SD,Elem,Public,43.47666667,0,117.6666667,32.49666667
ADAMS ELEMENTARY,CENTRAL VALLEY SD,Elem,Public,50.63,5.585,239,61.49333333
ADAMS ELEMENTARY,SPOKANE SD,Elem,Public,57.37333333,8.675,209.6666667,65.07666667
ADAMS ELEMENTARY,WAPATO SD,Elem,Public,88.76333333,19.23333333,184,43.49666667
ADAMS ELEMENTARY SCH,SEATTLE PS,Elem,Public,38.23666667,12.87666667,182.3333333,48.65
ADAMS ELEMENTARY SCH,YAKIMA SD,Elem,Public,95.64,45.73666667,314,38.66333333
ADELAIDE ELEMENTARY,FEDERAL WAY SD,Elem,Public,48.9,13.52666667,202,67.09
ADNA ELEMENTARY SCHO,ADNA SD,Elem,Public,23.285,0,155,50
ADNA ELEMENTARY SCHOol,ADNA SD,Elem,Public,35.17,0,145,41.18
ADNA MIDDLE/HIGH SCH,ADNA SD,Comprehensive,Public,26.02,0,185,32.77333333
AHTANUM VALLEY ELEME,WEST VLY (YAK)SD,Elem,Public,47.42333333,0,184.6666667,47.61
AKI KUROSE MIDDLE SC,SEATTLE PS,Middle,Public,77.85,16.08666667,480.3333333,28.36
ALBERT EINSTEIN MIDD,SHORELINE SD,Middle,Public,22.82,5.086666667,715,48.81666667
ALCOTT ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,4.08,4.966666667,376.3333333,32.145
ALDERWOOD ELEMENTARY,BELLINGHAM SD,Elem,Public,73.46,25.87333333,159.6666667,42.48666667
ALDERWOOD MIDDLE SCH,EDMONDS SD,Middle,Public,37.78,9.97,817.3333333,44.54666667
ALKI MIDDLE SCHOOL,VANCOUVER SD,Middle,Public,22.21333333,0,691.3333333,44.63
ALLEN ELEMENTARY,BURLINGTON SD,Comprehensive,Public,66.20666667,24.045,308.3333333,25.09
ALMIRA ELEMENTARY SC,ALMIRA SD,Comprehensive,Public,33.565,0,82,40.415
ALPAC ELEMENTARY SCH,AUBURN SD,Elem,Public,57.94666667,15.79,246.3333333,49.95666667
AMISTAD ELEMENTARY S,KENNEWICK SD,Elem,Public,59.43666667,32.97,270.6666667,37.99333333
ANACORTES HIGH SCHOOl,ANACORTES SD,High,Public,37.37,0,198,39.73
ANACORTES MIDDLE SCH,ANACORTES SD,Middle,Public,34.8,0,425.3333333,47.88
APOLLO ELEMENTARY,ISSAQUAH SD,Elem,Public,18.63,6.153333333,221.3333333,46.42666667
APPLE VALLEY ELEMENT,WEST VLY (YAK)SD,Elem,Public,27.17666667,0,200.6666667,50.61666667
ARBOR HEIGHTS ELEMEN,SEATTLE PS,Elem,Public,41.74,13.52,167.3333333,37.67
ARDMORE ELEMENTARY S,BELLEVUE SD,Elem,Public,49.98,21.07,130,55.42666667
ARLINGTON,TACOMA SD,Elem,Public,76.32666667,0,134.3333333,37.36333333
ARLINGTON ELEMENTARY,SPOKANE SD,Elem,Public,71.17,10.61333333,311,54.57333333
ARLINGTON HIGH SCHOO,ARLINGTON SD,High,Public,19.87,2.33,425.5,37.54
ARMIN JAHR ELEMENTAR,BREMERTON SD,Elem,Public,71.76333333,4.68,235,54.29666667
ARROWHEAD ELEMENTARY,NORTHSHORE SD,Elem,Public,20.11,4.18,222.6666667,41.5
ARTHUR JACOBSEN ELEM,AUBURN SD,Elem,Public,48.31,9.766666667,214,60.48333333
ARTS & ACADEMICS ACA,HIGHLINE SD,High,Public,60.67333333,29.20666667,83.66666667,13.65333333
ARTZ FOX ELEMENTARY,MABTON SD,Elem,Public,90.63333333,39.14333333,298,38.88
AS #1 K-8 SCHOOL,SEATTLE PS,Comprehensive,Alternative,42.57,0,148,20.63
ASOTIN ELEMENTARY,ASOTIN-ANATONE SD,Elem,Public,43.37666667,0,190,49.78
ASOTIN JR SR HIGH,ASOTIN-ANATONE SD,Comprehensive,Public,32.28333333,0,130.6666667,38.89333333
AUBURN MOUNTAINVIEW,AUBURN SD,High,Public,35.12,4.896666667,364,37.78666667
AUBURN RIVERSIDE HIG,AUBURN SD,High,Public,25.51666667,4.506666667,447.6666667,28.93333333
AUBURN SENIOR HIGH S,AUBURN SD,High,Public,43.99666667,7.546666667,444.6666667,23.98333333
AUDUBON ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,9.273333333,7.276666667,249.3333333,61.46
AUDUBON ELEMENTARY,SPOKANE SD,Elem,Public,79.72,5.105,271.6666667,48.33333333
AYLEN JR HIGH,PUYALLUP SD,Middle,Public,29.18,5.253333333,480,42.19333333
B F DAY ELEMENTARY S,SEATTLE PS,Elem,Public,41.91666667,16.30333333,122.3333333,46.71666667
BADGER MOUNTAIN ELEM,RICHLAND SD,Elem,Public,24.02,3.5,311,44.76333333
BAILEY GATZERT ELEME,SEATTLE PS,Elem,Public,95.9,32.79,122,40.82
BAINBRIDGE HIGH SCHO,BAINBRIDGE IS SD,High,Public,4.68,0,346,51.66666667
BAKER,TACOMA SD,Middle,Public,69.62666667,7.056666667,604.6666667,32.93
BALBOA ELEMENTARY,SPOKANE SD,Elem,Public,33.99666667,0,243,66.71666667
BALLARD HIGH SCHOOL,SEATTLE PS,High,Public,22.47,6.103333333,394.3333333,37.18333333
BALLOU JR HIGH,PUYALLUP SD,Middle,Public,26.99333333,0,553.6666667,39.56333333
BARGE-LINCOLN ELEMEN,YAKIMA SD,Elem,Public,96.63333333,48.35,275,30.47666667
BARNES ELEMENTARY,KELSO SD,Elem,Public,70.08666667,5.05,184,36.23666667
BASIN CITY ELEM,NORTH FRANKLIN SD,Elem,Public,84.98333333,52.24333333,233,39.46666667
BATTLE GROUND HIGH S,BATTLE GROUND SD,High,Public,33.87,2.683333333,504.3333333,49.64666667
BAY VIEW ELEMENTARY,BURLINGTON SD,Comprehensive,Public,29.79333333,3.483333333,391.3333333,45.73
BEACON HILL ELEMENTA,KELSO SD,Elem,Public,46.41333333,6.293333333,259,54.94333333
BEACON HILL INTERNAT,SEATTLE PS,Elem,Public,73.39,32.45,197.3333333,58.40333333
BEAR CREEK ELEMENTAR,NORTHSHORE SD,Elem,Public,5.48,0,275,65.155
BEAVER LAKE MIDDLE S,ISSAQUAH SD,Middle,Public,4.096666667,1.17,1032.666667,57.99
BELFAIR ELEMENTARY,NORTH MASON SD,Elem,Public,38.08,0,256.6666667,56.81333333
BELL ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,28.20666667,12.57333333,210,57.61
BELLEVUE HIGH SCHOOL,BELLEVUE SD,High,Public,9.786666667,6.913333333,332.6666667,67.70666667
BELLINGHAM HIGH SCHO,BELLINGHAM SD,High,Public,26.93333333,0,277.6666667,43.59333333
