School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
10TH STREET SCHOOL,Middle,MARYSVILLE SD,2008,49.66,40,Public,9.26,0,,162,,
10TH STREET SCHOOL,Middle,MARYSVILLE SD,2009,56.67,61.11,Public,10.53,0,,171,,
10TH STREET SCHOOL,Middle,MARYSVILLE SD,2010,61.11,50,Public,15.29,0,,170,,
19-21 TRANSITION ACA,High,LAKE WASHINGTON SD,2008,,,Alternative,,,,1,,
19-21 TRANSITION ACA,High,LAKE WASHINGTON SD,2010,0,0,Alternative,0,0,,,,
A G WEST BLACK HILLS,High,TUMWATER SD,2009,54.97,20.97,Public,24.81,0,9.69,258,88.83,55.17
A G WEST BLACK HILLS,High,TUMWATER SD,2010,56.86,36.59,Public,20.98,,4.88,205,84.46,53.04
A G WEST BLACK HILLS,High,TUMWATER SD,2008,70.17,37.5,Public,20.34,0,13.14,236,85.63,27.55
A J WEST ELEMENTARY,Elem,ABERDEEN SD,2009,53.7,54.86,Public,73.4,16.26,14.78,203,,
A J WEST ELEMENTARY,Elem,ABERDEEN SD,2010,56.82,47.95,Public,79.82,15.7,15.7,223,,
A J WEST ELEMENTARY,Elem,ABERDEEN SD,2008,65.45,51.77,Public,72.28,15.84,15.35,202,,
A-3 MULTIAGENCY ADOL,High,SPOKANE SD,2008,,,Alternative,,,,6,,
A-3 MULTIAGENCY ADOL,High,SPOKANE SD,2009,0,0,Alternative,,,,,,
A-I HIGH SCHOOL,High,CLOVER PARK SD,2010,,0,Alternative,72.22,0,,18,4.23,31.87
A-I HIGH SCHOOL,High,CLOVER PARK SD,2008,0,,Alternative,,,,23,29.17,
A-I HIGH SCHOOL,High,CLOVER PARK SD,2009,18.18,15.38,Alternative,,,,40,27.19,36.18
A.C.E,High,SPOKANE SD,2008,,,Alternative,,,,9,,
A.C.E,High,SPOKANE SD,2009,0,,Alternative,,,,16,,
ABRAHAM LINCOLN ELEM,Elem,WENATCHEE SD,2010,59.32,37.7,Public,77.65,38.64,14.77,264,,
ABRAHAM LINCOLN ELEM,Elem,WENATCHEE SD,2008,60,46.1,Public,69.83,36.21,14.22,232,,
ABRAHAM LINCOLN ELEM,Elem,WENATCHEE SD,2009,60.32,31.4,Public,73.97,37.19,13.22,242,,
ACADEMY OF CITIZENSH,High,HIGHLINE SD,2010,15.38,13.33,Public,42.62,26.23,18.03,61,49.75,57.53
ACADEMY OF CITIZENSH,High,HIGHLINE SD,2008,19.05,19.05,Public,68.97,29.89,20.69,87,,100
ACADEMY OF CITIZENSH,High,HIGHLINE SD,2009,46.67,17.02,Public,80.49,30.49,12.2,82,81.73,84.95
ACES HIGH SCHOOL,High,MUKILTEO SD,2008,,,Alternative,,,,22,,21.13
ACES HIGH SCHOOL,High,MUKILTEO SD,2009,0,0,Alternative,,,,15,63.05,45.71
ACES HIGH SCHOOL,High,MUKILTEO SD,2010,0,,Alternative,,0,0,17,34.52,53.76
ACME ELEMENTARY,Elem,MOUNT BAKER SD,2010,52.24,31.67,Public,46.88,0,20.31,128,,
ACME ELEMENTARY,Elem,MOUNT BAKER SD,2008,60.29,40.82,Public,41.88,0,11.97,117,,
ACME ELEMENTARY,Elem,MOUNT BAKER SD,2009,60.32,25,Public,41.67,,12.96,108,,
ADAMS ELEMENTARY,Elem,CENTRAL VALLEY SD,2010,68.47,54.31,Public,51.53,,16.59,229,,
ADAMS ELEMENTARY,Elem,CENTRAL VALLEY SD,2008,75,62.6,Public,50.79,4.33,14.96,254,,
ADAMS ELEMENTARY,Elem,CENTRAL VALLEY SD,2009,79.49,67.57,Public,49.57,6.84,13.25,234,,
ADAMS ELEMENTARY,Elem,SPOKANE SD,2010,66.67,59.5,Public,57.21,,16.28,215,,
ADAMS ELEMENTARY,Elem,SPOKANE SD,2008,69.05,65.14,Public,56.5,8,11,200,,
ADAMS ELEMENTARY,Elem,SPOKANE SD,2009,70.45,70.59,Public,58.41,9.35,13.55,214,,
ADAMS ELEMENTARY,Elem,WAPATO SD,2010,56.25,40.58,Public,88.61,17.09,15.19,158,,
ADAMS ELEMENTARY,Elem,WAPATO SD,2009,62.5,40.49,Public,87.37,20.2,13.64,198,,
ADAMS ELEMENTARY,Elem,WAPATO SD,2008,68.42,49.42,Public,90.31,20.41,9.69,196,,
ADAMS ELEMENTARY SCH,Elem,SEATTLE PS,2008,72.73,49.18,Public,37.44,15.9,17.95,195,,
ADAMS ELEMENTARY SCH,Elem,SEATTLE PS,2010,76.19,51.61,Public,39.77,10.8,21.02,176,,
ADAMS ELEMENTARY SCH,Elem,SEATTLE PS,2009,77.14,45.16,Public,37.5,11.93,19.89,176,,
ADAMS ELEMENTARY SCH,Elem,YAKIMA SD,2010,,28.81,Public,96.85,49.21,6.94,317,,
ADAMS ELEMENTARY SCH,Elem,YAKIMA SD,2008,0,47.54,Public,97.44,44.41,7.67,313,,
ADAMS ELEMENTARY SCH,Elem,YAKIMA SD,2009,50,39.64,Public,92.63,43.59,6.73,312,,
ADELAIDE ELEMENTARY,Elem,FEDERAL WAY SD,2010,83.16,65.26,Public,51.5,15.5,14.5,200,,
ADELAIDE ELEMENTARY,Elem,FEDERAL WAY SD,2009,84.04,68.48,Public,49.75,11.68,17.26,197,,
ADELAIDE ELEMENTARY,Elem,FEDERAL WAY SD,2008,84.55,67.53,Public,45.45,13.4,17.22,209,,
ADNA ELEMENTARY SCHO,Elem,ADNA SD,2008,65.6,50,Public,20.25,0,14.56,158,,
ADNA ELEMENTARY SCHO,Elem,ADNA SD,2009,75,50,Public,26.32,0,11.18,152,,
ADNA ELEMENTARY SCHOol,Elem,ADNA SD,2010,55.32,41.18,Public,35.17,0,15.86,145,,
ADNA MIDDLE/HIGH SCH,Comprehensive,ADNA SD,2008,43.75,29.55,Public,23.68,0,10.53,190,91.67,
ADNA MIDDLE/HIGH SCH,Comprehensive,ADNA SD,2009,49.57,29.55,Public,27.88,0,7.27,165,100,
ADNA MIDDLE/HIGH SCH,Comprehensive,ADNA SD,2010,54.79,39.22,Public,26.5,,15.5,200,94.91,
AFRICAN AMERICAN ACA,Comprehensive,SEATTLE PS,2008,20.83,22.17,Alternative,,,,231,,
AFRICAN AMERICAN ACA,Comprehensive,SEATTLE PS,2009,22.22,20.59,Alternative,,,,201,,
AHTANUM VALLEY ELEME,Elem,WEST VLY (YAK)SD,2010,53.57,33.66,Public,54.59,0,21.08,185,,
AHTANUM VALLEY ELEME,Elem,WEST VLY (YAK)SD,2009,74.51,50.6,Public,45.55,,15.18,191,,
AHTANUM VALLEY ELEME,Elem,WEST VLY (YAK)SD,2008,77.45,58.57,Public,42.13,,11.24,178,,
AIM HIGH SCHOOL,High,SNOHOMISH SD,2008,0,,Alternative,,,,37,40.32,25
AIM HIGH SCHOOL,High,SNOHOMISH SD,2009,8.7,,Alternative,,,,33,,
AIM HIGH SCHOOL,High,SNOHOMISH SD,2010,11.76,11.76,Alternative,35,,,60,,
